hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
City Hotel,64,2017,May,18,6,2,1,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,189.0,0,0,Canceled,2017-03-13,Terri Snyder,Terri_Snyder12@outlook.com,512-011-9928,************8434
City Hotel,34,2017,July,28,10,1,1,2,1.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,146.0,0,0,Check-Out,2017-07-12,Edward Howell,Edward_Howell@att.com,879-730-6756,************1737
City Hotel,8,2016,September,39,24,1,1,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,259.0,0,0,Canceled,2016-09-16,Ronald Johnson,Ronald.Johnson@gmail.com,172-879-5712,************1812
Resort Hotel,251,2017,May,21,21,2,4,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,89.7,0,1,Canceled,2016-09-12,Sheila Leon,Sheila_L@hotmail.com,644-872-9073,************4034
Resort Hotel,23,2017,February,7,18,1,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,42.43,0,1,Check-Out,2017-02-20,Rachel Weaver,Weaver_Rachel@outlook.com,166-837-7048,************1922
City Hotel,134,2016,May,20,9,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,76.58,0,1,Check-Out,2016-05-14,Daniel Rose,Rose.Daniel@zoho.com,802-432-3645,************7344
Resort Hotel,13,2015,October,41,7,0,2,2,0.0,0,FB,PRT,Complementary,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,0.0,0,2,Check-Out,2015-10-09,Michael Lawrence,Lawrence.Michael@aol.com,583-332-6245,************1062
City Hotel,123,2017,June,24,17,2,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,105.3,0,1,Check-Out,2017-06-20,Michelle Perez,Perez.Michelle@mail.com,264-907-7428,************9042
Resort Hotel,40,2016,April,17,19,0,4,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,8.0,,0,Transient,60.06,0,0,Check-Out,2016-04-23,Ray Boone,Ray.Boone@protonmail.com,870-667-9120,************7091
City Hotel,8,2016,March,11,9,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,100.0,0,0,Check-Out,2016-03-12,Chris Carrillo,Carrillo.Chris@xfinity.com,380-221-6657,************7699
Resort Hotel,1,2015,November,47,21,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,1,No Deposit,,,0,Transient,78.0,0,1,Canceled,2015-11-21,Veronica Hughes,VHughes@xfinity.com,133-193-8622,************5063
City Hotel,111,2016,April,15,4,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,82.45,0,1,Check-Out,2016-04-08,Russell Cervantes,RCervantes37@verizon.com,196-541-0888,************5053
Resort Hotel,260,2017,June,24,15,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,,0,Contract,68.4,0,1,Check-Out,2017-06-29,Keith Fernandez,Fernandez.Keith@comcast.net,176-975-8581,************8408
Resort Hotel,41,2015,August,33,9,2,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,190.5,0,1,Check-Out,2015-08-12,William Tran,William.T@yahoo.com,752-037-6052,************4547
